TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,970,241,10,127,121
B,1446,255,10,206,188
C,1201,247,3,103,64
D,927,230,1,80,105
E,15784,1325,93,2036,2503
F,839,146,4,114,162
G,2700,567,16,182,469
H,411,80,1,76,97
I,2104,323,26,267,89
J,1688,541,18,247,182
K,880,358,12,99,50
L,1143,104,3,89,231
M,629,89,3,67,132
N,576,46,0,70,128
O,4217,470,6,299,654
P,6574,489,45,650,1199
Q,14844,1422,94,1262,2517
R,1743,134,0,222,428
S,595,81,3,48,137
T,426,1,0,64,94
U,1340,127,0,163,360
V,2968,496,20,377,553
