TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,933,253,7,147,24
B,1528,341,30,229,39
C,1208,278,5,101,20
D,918,231,7,81,22
E,16001,1683,194,2122,647
F,1035,381,30,67,52
G,2859,722,44,220,112
H,604,160,15,113,12
I,1999,283,27,260,65
J,1763,680,27,268,29
K,869,350,23,92,5
L,1133,116,11,101,51
M,654,141,19,66,21
N,571,67,5,80,39
O,4550,656,50,350,148
P,6254,732,90,786,242
Q,14731,1521,101,1334,555
R,1684,180,15,225,96
S,582,151,12,52,26
T,468,32,0,79,20
U,1641,504,52,190,62
V,3123,754,39,378,149
