TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1025,225,19,120,132
B,1473,266,10,171,184
C,1204,288,5,83,96
D,943,244,1,78,98
E,16352,1362,70,1857,2119
F,850,143,8,90,136
G,2732,565,21,252,469
H,488,113,6,92,112
I,1984,214,4,272,114
J,1663,540,13,291,147
K,865,328,9,130,43
L,1111,121,15,171,126
M,641,76,0,61,105
N,580,51,1,71,84
O,4275,657,36,426,332
P,6644,843,97,714,619
Q,14639,1650,105,1307,1731
R,1914,232,3,383,230
S,627,196,12,60,99
T,419,23,4,82,21
U,1238,66,0,163,223
V,2855,576,30,363,254
