TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,978,236,16,131,100
B,1448,283,9,221,181
C,1213,268,2,105,61
D,855,215,1,87,88
E,15545,1363,100,2102,2233
F,863,179,13,112,145
G,2690,614,24,189,383
H,507,89,1,84,83
I,2047,347,35,265,90
J,1702,603,27,267,143
K,889,357,17,89,48
L,1092,83,5,94,223
M,648,118,3,79,122
N,560,76,4,71,100
O,4437,470,6,295,647
P,6402,628,51,694,1085
Q,14105,1313,42,1367,2285
R,1748,192,6,210,378
S,554,101,3,50,127
T,392,2,0,70,73
U,1440,232,12,172,341
V,2832,511,17,307,526
