"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1240,590,55,124,115,535
"B",1439,314,21,211,185,940
"C",1124,352,8,94,30,742
"D",761,296,9,79,30,435
"E",14057,1849,288,1744,913,11295
"F",968,387,27,81,85,496
"G",2595,671,25,301,210,1714
"H",554,174,13,82,58,322
"I",1863,381,23,301,206,1276
"J",1519,669,39,225,76,774
"K",480,223,24,75,7,250
"L",1110,300,23,115,30,780
"M",550,158,9,67,56,336
"N",459,115,8,59,29,315
"O",4040,1006,115,522,101,2933
"P",5861,1083,172,787,240,4538
"Q",14548,2018,166,1552,519,12011
"R",1743,192,7,239,143,1408
"S",449,138,32,74,40,271
"T",430,67,14,70,77,286
"U",1592,573,47,233,97,922
"V",3196,1164,91,411,272,1760
