"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1240,625,58,119,97,518
"B",1438,364,15,194,145,929
"C",1149,376,16,108,33,740
"D",768,313,6,78,30,425
"E",13963,2349,304,1778,888,10726
"F",934,390,26,79,92,452
"G",2509,764,42,289,207,1538
"H",546,206,14,91,57,283
"I",1799,400,27,284,196,1203
"J",1545,695,39,225,73,777
"K",474,229,28,79,2,243
"L",1093,321,26,120,29,743
"M",538,177,7,60,51,310
"N",451,162,10,57,25,264
"O",4070,1110,131,518,87,2873
"P",5757,1341,193,803,241,4175
"Q",13567,2206,203,1468,503,10858
"R",1629,208,10,234,139,1282
"S",447,182,36,74,46,219
"T",413,66,4,72,76,271
"U",1469,504,60,228,95,870
"V",3170,1242,103,408,282,1646
