TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,916,287,9,156,24
B,1540,415,35,279,22
C,1218,289,6,108,4
D,890,249,1,98,12
E,15544,2074,248,2189,312
F,1016,375,32,85,39
G,2812,858,65,295,57
H,548,132,11,118,16
I,2106,419,47,257,52
J,1736,719,34,303,13
K,868,356,19,97,7
L,1113,167,20,91,29
M,623,159,5,59,15
N,560,82,5,68,23
O,4259,613,71,358,86
P,6131,850,122,809,139
Q,14063,1936,112,1523,432
R,1691,209,9,270,55
S,591,232,24,53,29
T,427,63,4,62,16
U,1716,670,41,196,41
V,3028,763,55,432,107
