TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,924,267,9,151,21
B,1516,359,23,251,22
C,1225,295,5,98,9
D,857,243,9,106,10
E,15643,1973,208,2170,323
F,1012,369,36,81,35
G,2891,870,30,265,52
H,581,148,16,116,17
I,2037,370,45,253,48
J,1698,649,34,277,14
K,875,369,26,102,1
L,1124,143,13,96,30
M,654,177,19,61,11
N,568,95,4,72,34
O,4183,668,66,370,83
P,6218,836,81,789,154
Q,13671,1832,123,1425,430
R,1532,210,13,296,52
S,582,221,16,51,20
T,410,39,3,70,11
U,1739,675,50,201,44
V,2922,709,44,438,105
