Date,Level,COVID_ICU_Beds,COVID_ICU_Patients,COVID_General_Beds,COVID_General_Patients
2020-06-17,Angelina,45,4,159,8
2020-06-18,Angelina,47,0,70,5
2020-06-19,Angelina,45,3,145,7
2020-06-20,Angelina,48,1,117,16
2020-06-21,Angelina,49,10,11,16
2020-06-22,Angelina,44,5,137,20
2020-06-23,Angelina,43,6,161,29
2020-06-24,Angelina,42,3,162,23
2020-06-25,Angelina,7,3,142,18
2020-06-26,Angelina,45,3,149,16
2020-06-27,Angelina,47,2,119,15
2020-06-28,Angelina,50,1,108,14
2020-06-29,Angelina,48,4,147,0
2020-06-30,Angelina,47,6,145,15
2020-07-01,Angelina,48,3,152,16
2020-07-02,Angelina,49,3,158,21
2020-07-03,Angelina,8,3,152,17
2020-07-04,Angelina,1,3,120,17
2020-07-05,Angelina,51,0,30,10
2020-07-06,Angelina,47,16,146,14
2020-07-07,Angelina,50,4,84,16
2020-07-08,Angelina,51,16,151,16
2020-07-09,Angelina,48,21,148,16
2020-07-10,Angelina,43,15,147,23
2020-07-11,Angelina,49,6,116,29
2020-07-12,Angelina,48,6,115,22
2020-07-13,Angelina,5,6,58,20
2020-07-14,Angelina,13,6,159,39
2020-07-15,Angelina,40,16,164,44
2020-07-16,Angelina,46,15,159,37
2020-07-17,Angelina,41,16,195,40
2020-07-18,Angelina,49,15,145,40
2020-07-19,Angelina,43,16,54,51
2020-07-20,Angelina,49,18,160,43
2020-07-21,Angelina,42,12,182,49
2020-07-22,Angelina,48,21,166,50
2020-07-23,Angelina,49,27,156,29
2020-07-24,Angelina,46,27,163,36
2020-07-25,Angelina,45,10,25,10
2020-07-26,Angelina,37,10,101,14
2020-07-27,Angelina,37,2,126,44
2020-07-28,Angelina,42,14,151,40
2020-07-29,Angelina,45,19,161,44
2020-07-30,Angelina,49,15,157,41
2020-07-31,Angelina,5,15,65,33
2020-08-01,Angelina,48,12,124,40
2020-08-02,Angelina,49,17,136,41
2020-08-03,Angelina,51,17,142,41
2020-08-04,Angelina,49,17,135,41
2020-08-05,Angelina,15,17,154,41
2020-08-06,Angelina,51,13,176,40
2020-08-07,Angelina,48,4,86,26
2020-08-08,Angelina,41,14,165,30
2020-08-09,Angelina,45,14,147,32
2020-08-10,Angelina,44,16,157,26
2020-08-11,Angelina,47,3,73,25
2020-08-12,Angelina,12,3,159,32
2020-08-13,Angelina,46,14,159,32
2020-08-14,Angelina,47,14,166,38
2020-08-15,Angelina,48,15,172,34
2020-08-16,Angelina,14,15,161,31
2020-08-17,Angelina,47,29,160,11
2020-08-18,Angelina,49,5,78,20
2020-08-19,Angelina,45,11,163,31
2020-08-20,Angelina,47,14,161,27
2020-08-21,Angelina,44,11,138,26
2020-08-22,Angelina,45,13,144,26
2020-08-23,Angelina,41,5,105,20
2020-08-24,Angelina,39,11,122,22
2020-08-25,Angelina,44,6,133,15
2020-08-26,Angelina,13,6,150,26
2020-08-27,Angelina,41,12,140,18
2020-08-28,Angelina,44,12,118,21
2020-08-29,Angelina,6,12,114,13
2020-08-30,Angelina,46,12,139,10
2020-08-31,Angelina,13,12,158,11
2020-09-01,Angelina,13,12,179,11
2020-09-02,Angelina,45,16,166,22
2020-09-03,Angelina,48,14,157,11
2020-09-04,Angelina,19,14,139,9
2020-09-05,Angelina,49,16,126,10
2020-09-06,Angelina,48,14,115,10
2020-09-07,Angelina,49,8,125,8
2020-09-08,Angelina,46,14,131,10
2020-09-09,Angelina,11,14,154,11
2020-09-10,Angelina,11,14,156,13
2020-09-11,Angelina,50,8,144,14
2020-09-12,Angelina,48,6,119,2
2020-09-13,Angelina,7,6,109,6
2020-09-14,Angelina,42,10,145,13
2020-09-15,Angelina,45,8,162,16
2020-09-16,Angelina,5,8,153,21
2020-09-17,Angelina,44,11,161,13
2020-09-18,Angelina,48,4,149,18
2020-09-19,Angelina,8,4,154,17
2020-09-20,Angelina,49,18,143,12
2020-09-21,Angelina,16,18,126,10
2020-09-22,Angelina,51,17,158,10
2020-09-23,Angelina,48,14,167,18
2020-09-24,Angelina,47,14,170,18
2020-09-25,Angelina,51,9,148,11
2020-09-26,Angelina,48,11,150,17
2020-09-27,Angelina,49,5,66,13
2020-09-28,Angelina,51,9,154,22
2020-09-29,Angelina,8,9,180,26
2020-09-30,Angelina,9,9,178,25
2020-10-01,Angelina,50,6,175,26
2020-10-02,Angelina,49,11,163,21
2020-10-03,Angelina,50,7,137,16
2020-10-04,Angelina,47,20,128,8
2020-10-05,Angelina,5,20,147,26
2020-10-06,Angelina,49,20,166,25
2020-10-07,Angelina,44,6,22,25
2020-10-08,Angelina,42,6,163,25
2020-10-09,Angelina,45,4,180,23
2020-10-10,Angelina,44,3,153,25
2020-10-11,Angelina,42,3,155,22
2020-10-12,Angelina,46,3,156,25
2020-10-13,Angelina,49,4,149,23
2020-10-14,Angelina,50,5,167,16
2020-10-15,Angelina,47,5,147,16
2020-10-16,Angelina,48,4,150,15
2020-10-17,Angelina,49,3,121,12
2020-10-18,Angelina,47,3,124,17
2020-10-19,Angelina,51,3,139,14
2020-10-20,Angelina,51,3,153,14
2020-10-21,Angelina,2,3,163,18
2020-10-22,Angelina,45,3,166,17
2020-10-23,Angelina,50,3,70,11
2020-10-24,Angelina,48,3,137,17
2020-10-25,Angelina,51,3,60,13
2020-10-26,Angelina,51,3,148,21
2020-10-27,Angelina,47,3,178,21
2020-10-28,Angelina,47,3,172,23
2020-10-29,Angelina,45,3,151,24
2020-10-30,Angelina,46,3,155,23
2020-10-31,Angelina,46,3,138,21
2020-11-01,Angelina,47,3,138,21
2020-11-02,Angelina,46,11,157,19
2020-11-03,Angelina,8,11,172,21
2020-11-04,Angelina,42,4,177,26
2020-11-05,Angelina,43,4,28,26
2020-11-06,Angelina,45,4,174,27
2020-11-07,Angelina,42,4,151,28
2020-11-08,Angelina,42,4,152,28
2020-11-09,Angelina,50,7,154,20
2020-11-10,Angelina,45,8,184,19
2020-11-11,Angelina,44,4,179,22
2020-11-12,Angelina,7,4,176,22
2020-11-13,Angelina,47,4,169,22
2020-11-14,Angelina,46,4,138,10
2020-11-15,Angelina,49,8,47,24
2020-11-16,Angelina,47,7,157,31
2020-11-17,Angelina,3,7,163,15
2020-11-18,Angelina,48,11,177,23
2020-11-19,Angelina,47,8,164,27
2020-11-20,Angelina,46,8,142,23
2020-11-21,Angelina,33,11,166,27
2020-11-22,Angelina,47,14,148,27
2020-11-23,Angelina,45,6,31,27
2020-11-24,Angelina,48,12,169,28
2020-11-25,Angelina,44,14,178,28
2020-11-26,Angelina,41,13,145,26
2020-11-27,Angelina,40,14,143,29
2020-11-28,Angelina,45,15,139,28
2020-11-29,Angelina,43,15,140,28
2020-11-30,Angelina,40,15,141,31
2020-12-01,Angelina,48,16,167,34
2020-12-02,Angelina,49,17,175,38
2020-12-03,Angelina,46,14,177,34
2020-12-04,Angelina,48,17,174,34
2020-12-05,Angelina,47,17,148,35
2020-12-06,Angelina,44,14,146,34
2020-12-07,Angelina,45,7,151,39
2020-12-08,Angelina,47,16,165,39
2020-12-09,Angelina,17,16,178,43
2020-12-10,Angelina,13,16,181,33
2020-12-11,Angelina,46,15,176,35
2020-12-12,Angelina,47,16,141,32
2020-12-13,Angelina,45,17,137,37
2020-12-14,Angelina,41,13,149,33
2020-12-15,Angelina,45,20,169,33
2020-12-16,Angelina,48,17,153,30
2020-12-17,Angelina,44,13,164,28
2020-12-18,Angelina,47,14,31,28
2020-12-19,Angelina,46,13,150,28
2020-12-20,Angelina,44,14,143,32
2020-12-21,Angelina,42,19,151,34
2020-12-22,Angelina,48,16,137,36
2020-12-23,Angelina,43,13,161,35
2020-12-24,Angelina,15,13,141,32
2020-12-25,Angelina,39,17,130,34
2020-12-26,Angelina,42,12,129,35
2020-12-27,Angelina,39,12,138,36
2020-12-28,Angelina,44,16,155,43
2020-12-29,Angelina,45,18,160,45
2020-12-30,Angelina,48,18,204,38
2020-12-31,Angelina,48,18,200,38
2021-01-01,Angelina,43,17,152,40
2021-01-02,Angelina,43,17,145,39
2021-01-03,Angelina,16,17,54,39
2021-01-04,Angelina,45,11,166,59
2021-01-05,Angelina,48,24,167,62
2021-01-06,Angelina,45,14,169,56
2021-01-07,Angelina,46,15,174,64
2021-01-08,Angelina,47,14,157,69
2021-01-09,Angelina,51,12,137,67
2021-01-10,Angelina,49,16,135,52
2021-01-11,Angelina,49,16,157,68
2021-01-12,Angelina,50,9,163,76
2021-01-13,Angelina,45,15,190,66
2021-01-14,Angelina,9,15,187,54
2021-01-15,Angelina,47,17,181,64
2021-01-16,Angelina,46,35,178,35
2021-01-17,Angelina,51,18,171,63
2021-01-18,Angelina,20,18,186,72
2021-01-19,Angelina,43,18,195,71
2021-01-20,Angelina,44,14,182,61
2021-01-21,Angelina,50,14,176,54
2021-01-22,Angelina,3,14,188,56
2021-01-23,Angelina,47,17,165,55
2021-01-24,Angelina,45,18,172,57
2021-01-25,Angelina,44,17,167,55
2021-01-26,Angelina,39,15,184,57
2021-01-27,Angelina,14,15,185,46
2021-01-28,Angelina,40,16,186,52
2021-01-29,Angelina,41,31,173,31
2021-01-30,Angelina,46,40,145,17
2021-01-31,Angelina,51,39,136,16
2021-02-01,Angelina,44,38,140,16
2021-02-02,Angelina,42,30,163,21
2021-02-03,Angelina,44,31,164,22
2021-02-04,Angelina,43,31,170,18
2021-02-05,Angelina,49,35,179,16
2021-02-06,Angelina,37,35,162,18
2021-02-07,Angelina,46,34,153,22
2021-02-08,Angelina,45,34,142,19
2021-02-09,Angelina,49,35,149,19
2021-02-10,Angelina,42,31,173,15
2021-02-11,Angelina,49,32,153,19
2021-02-12,Angelina,35,32,156,13
2021-02-13,Angelina,47,34,161,13
2021-02-14,Angelina,50,34,152,11
2021-02-15,Angelina,49,32,150,15
2021-02-16,Angelina,27,32,169,19
2021-02-17,Angelina,46,30,149,19
2021-02-18,Angelina,47,31,179,21
2021-02-19,Angelina,49,32,175,18
2021-02-20,Angelina,48,33,161,9
2021-02-21,Angelina,50,32,72,11
2021-02-22,Angelina,12,32,185,33
2021-02-23,Angelina,34,32,191,9
2021-02-24,Angelina,48,13,203,32
2021-02-25,Angelina,50,11,185,26
2021-02-26,Angelina,28,11,190,7
2021-02-27,Angelina,51,30,185,7
2021-02-28,Angelina,25,29,202,7
2021-03-01,Angelina,50,30,181,8
2021-03-02,Angelina,51,13,186,21
2021-03-03,Angelina,49,11,187,21
2021-03-04,Angelina,12,11,18,21
2021-03-05,Angelina,25,11,200,7
2021-03-06,Angelina,15,11,179,17
2021-03-07,Angelina,50,16,158,15
2021-03-08,Angelina,48,15,179,16
2021-03-09,Angelina,13,15,191,15
2021-03-10,Angelina,47,21,189,8
2021-03-11,Angelina,50,21,195,8
2021-03-12,Angelina,48,20,88,8
2021-03-13,Angelina,21,20,67,8
2021-03-14,Angelina,47,20,62,6
2021-03-15,Angelina,48,14,167,15
2021-03-16,Angelina,12,14,69,13
2021-03-17,Angelina,47,11,168,14
2021-03-18,Angelina,45,11,163,14
2021-03-19,Angelina,48,11,180,13
2021-03-20,Angelina,10,11,160,13
2021-03-21,Angelina,49,9,145,14
2021-03-22,Angelina,50,16,163,9
2021-03-23,Angelina,48,17,169,7
2021-03-24,Angelina,49,19,178,2
2021-03-25,Angelina,14,19,181,7
2021-03-26,Angelina,4,19,187,16
2021-03-27,Angelina,48,19,65,7
2021-03-28,Angelina,48,19,68,16
2021-03-29,Angelina,47,3,153,17
2021-03-30,Angelina,49,4,79,15
2021-03-31,Angelina,44,4,161,11
2021-04-01,Angelina,51,3,158,12
2021-04-02,Angelina,48,5,154,11
2021-04-03,Angelina,47,11,53,5
2021-04-04,Angelina,48,10,57,6
2021-04-05,Angelina,45,3,150,13
2021-04-06,Angelina,47,4,169,16
2021-04-07,Angelina,46,3,185,18
2021-04-08,Angelina,45,3,182,19
2021-04-09,Angelina,45,3,183,18
2021-04-10,Angelina,12,3,167,7
2021-04-11,Angelina,43,8,156,12
2021-04-12,Angelina,45,4,152,7
2021-04-13,Angelina,47,7,175,15
2021-04-14,Angelina,46,3,165,15
2021-04-15,Angelina,1,3,171,17
2021-04-16,Angelina,43,0,166,15
2021-04-17,Angelina,48,0,160,13
2021-04-18,Angelina,46,0,138,15
2021-04-19,Angelina,45,1,154,18
2021-04-20,Angelina,43,2,168,21
2021-04-21,Angelina,47,2,169,20
2021-04-22,Angelina,45,6,186,16
2021-04-23,Angelina,3,6,191,21
2021-04-24,Angelina,3,6,176,19
2021-04-25,Angelina,43,6,152,18
2021-04-26,Angelina,44,6,166,20
2021-04-27,Angelina,50,8,188,11
2021-04-28,Angelina,48,6,86,13
2021-04-29,Angelina,50,7,182,10
2021-04-30,Angelina,47,7,170,10
2021-05-01,Angelina,45,9,166,6
2021-05-02,Angelina,10,9,146,5
2021-05-03,Angelina,47,8,153,8
2021-05-04,Angelina,46,8,179,8
2021-05-05,Angelina,49,9,176,6
2021-05-06,Angelina,48,8,190,5
2021-05-07,Angelina,43,8,195,3
2021-05-08,Angelina,46,8,145,4
2021-05-09,Angelina,45,8,147,3
2021-05-10,Angelina,48,8,155,7
2021-05-11,Angelina,49,8,181,4
2021-05-12,Angelina,47,7,174,4
2021-05-13,Angelina,47,7,172,4
2021-05-14,Angelina,48,7,177,2
2021-05-15,Angelina,47,6,155,4
2021-05-16,Angelina,46,4,149,4
2021-05-17,Angelina,47,4,148,2
2021-05-18,Angelina,48,6,171,4
2021-05-19,Angelina,45,6,173,5
2021-05-20,Angelina,38,5,170,7
2021-05-21,Angelina,40,4,163,4
2021-05-22,Angelina,46,5,142,2
2021-05-23,Angelina,47,5,132,1
2021-05-24,Angelina,48,5,146,3
2021-05-25,Angelina,49,5,154,2
2021-05-26,Angelina,47,7,161,2
2021-05-27,Angelina,49,4,167,5
2021-05-28,Angelina,45,6,151,4
2021-05-29,Angelina,49,8,139,3
2021-05-30,Angelina,42,8,132,1
2021-05-31,Angelina,47,5,62,0
2021-06-01,Angelina,43,7,141,3
2021-06-02,Angelina,47,8,166,3
2021-06-03,Angelina,46,8,164,6
2021-06-04,Angelina,48,8,166,5
2021-06-05,Angelina,46,11,172,0
2021-06-06,Angelina,47,10,129,1
2021-06-07,Angelina,44,6,155,5
2021-06-08,Angelina,48,6,159,5
2021-06-09,Angelina,4,6,159,5
2021-06-10,Angelina,50,6,182,4
2021-06-11,Angelina,8,6,168,2
2021-06-12,Angelina,6,6,133,3
2021-06-13,Angelina,44,6,134,4
2021-06-14,Angelina,45,6,146,4
2021-06-15,Angelina,47,6,164,4
2021-06-16,Angelina,48,4,80,2
2021-06-17,Angelina,47,8,155,3
2021-06-18,Angelina,45,7,151,6
2021-06-19,Angelina,43,4,145,0
2021-06-20,Angelina,7,4,147,0
2021-06-21,Angelina,46,1,151,9
2021-06-22,Angelina,44,5,170,5
2021-06-23,Angelina,44,5,160,0
2021-06-24,Angelina,2,5,158,6
2021-06-25,Angelina,46,4,149,1
2021-06-26,Angelina,45,5,150,1
2021-06-27,Angelina,47,5,67,0
2021-06-28,Angelina,42,3,139,3
2021-06-29,Angelina,46,4,160,3
2021-06-30,Angelina,41,3,168,2
2021-07-01,Angelina,47,2,150,2
2021-07-02,Angelina,42,2,149,0
2021-07-03,Angelina,38,2,122,0
2021-07-04,Angelina,44,2,125,0
2021-07-05,Angelina,42,2,58,0
2021-07-06,Angelina,43,2,67,5
2021-07-07,Angelina,40,3,154,0
2021-07-08,Angelina,45,4,170,3
2021-07-09,Angelina,3,4,73,3
2021-07-10,Angelina,44,1,66,0
2021-07-11,Angelina,41,3,126,1
2021-07-12,Angelina,39,2,136,3
2021-07-13,Angelina,42,0,158,4
2021-07-14,Angelina,40,0,172,2
2021-07-15,Angelina,45,0,157,2
2021-07-16,Angelina,42,1,180,4
2021-07-17,Angelina,42,1,156,1
2021-07-18,Angelina,43,2,147,1
2021-07-19,Angelina,46,1,142,1
2021-07-20,Angelina,45,5,64,2
2021-07-21,Angelina,43,7,138,3
2021-07-22,Angelina,46,7,147,2
2021-07-23,Angelina,42,8,152,4
2021-07-24,Angelina,6,8,137,5
2021-07-25,Angelina,43,9,129,3
2021-07-26,Angelina,44,7,139,8
2021-07-27,Angelina,43,8,172,9
2021-07-28,Angelina,45,8,193,11
2021-07-29,Angelina,47,9,177,10
2021-07-30,Angelina,10,9,185,15
2021-07-31,Angelina,7,9,67,16
2021-08-01,Angelina,2,9,70,5
2021-08-02,Angelina,43,12,166,19
2021-08-03,Angelina,42,13,168,18
2021-08-04,Angelina,46,10,169,20
2021-08-05,Angelina,49,16,146,20
2021-08-06,Angelina,48,20,141,19
2021-08-07,Angelina,51,19,137,0
2021-08-08,Angelina,24,19,153,20
2021-08-09,Angelina,27,19,148,21
2021-08-10,Angelina,50,33,79,18
2021-08-11,Angelina,36,33,148,15
2021-08-12,Angelina,51,37,156,23
2021-08-13,Angelina,49,22,150,33
2021-08-14,Angelina,51,33,63,23
2021-08-15,Angelina,49,33,142,20
2021-08-16,Angelina,49,33,163,27
2021-08-17,Angelina,50,33,172,27
2021-08-18,Angelina,50,33,176,28
2021-08-19,Angelina,51,37,26,28
2021-08-20,Angelina,31,37,173,48
2021-08-21,Angelina,50,40,155,50
2021-08-22,Angelina,39,40,163,43
2021-08-23,Angelina,48,45,172,36
2021-08-24,Angelina,49,46,80,35
2021-08-25,Angelina,35,39,192,37
2021-08-26,Angelina,43,38,175,34
2021-08-27,Angelina,47,37,38,34
2021-08-28,Angelina,45,37,146,36
2021-08-29,Angelina,36,37,152,37
2021-08-30,Angelina,38,37,157,41
2021-08-31,Angelina,43,35,162,34
2021-09-01,Angelina,46,37,165,38
2021-09-02,Angelina,44,34,67,39
2021-09-03,Angelina,43,33,173,44
2021-09-04,Angelina,50,44,139,34
2021-09-05,Angelina,39,44,145,36
2021-09-06,Angelina,39,44,160,36
2021-09-07,Angelina,49,42,171,35
2021-09-08,Angelina,50,36,67,46
2021-09-09,Angelina,44,36,85,44
2021-09-10,Angelina,48,40,166,50
2021-09-11,Angelina,51,43,161,46
2021-09-12,Angelina,49,43,142,43
2021-09-13,Angelina,40,43,156,45
2021-09-14,Angelina,39,41,190,45
2021-09-15,Angelina,51,37,176,50
2021-09-16,Angelina,51,37,164,25
2021-09-17,Angelina,42,37,163,39
2021-09-18,Angelina,50,47,168,31
2021-09-19,Angelina,49,44,174,30
2021-09-20,Angelina,48,39,181,32
2021-09-21,Angelina,49,41,189,31
2021-09-22,Angelina,48,46,190,31
2021-09-23,Angelina,47,39,183,35
2021-09-24,Angelina,48,44,175,30
2021-09-25,Angelina,49,41,155,34
2021-09-26,Angelina,50,40,159,32
2021-09-27,Angelina,49,39,158,35
2021-09-28,Angelina,48,38,170,29
2021-09-29,Angelina,49,30,182,33
2021-09-30,Angelina,35,30,162,22
2021-10-01,Angelina,50,39,183,17
2021-10-02,Angelina,30,39,153,21
2021-10-03,Angelina,28,39,143,23
2021-10-04,Angelina,51,36,146,17
2021-10-05,Angelina,50,37,67,18
2021-10-06,Angelina,47,32,66,21
2021-10-07,Angelina,45,33,168,30
2021-10-08,Angelina,47,37,151,15
2021-10-09,Angelina,50,41,11,15
2021-10-10,Angelina,42,38,154,13
2021-10-11,Angelina,48,28,138,21
2021-10-12,Angelina,27,28,142,18
2021-10-13,Angelina,49,35,149,28
2021-10-14,Angelina,46,23,152,16
2021-10-15,Angelina,51,22,147,13
2021-10-16,Angelina,50,21,142,13
2021-10-17,Angelina,17,21,132,13
2021-10-18,Angelina,35,21,156,13
2021-10-19,Angelina,51,22,148,12
2021-10-20,Angelina,48,25,162,7
2021-10-21,Angelina,51,22,157,9
2021-10-22,Angelina,49,23,155,6
2021-10-23,Angelina,47,18,142,6
2021-10-24,Angelina,48,16,117,2
2021-10-25,Angelina,49,17,114,4
2021-10-26,Angelina,48,16,153,4
2021-10-27,Angelina,50,16,150,4
2021-10-28,Angelina,46,18,65,4
2021-10-29,Angelina,50,17,52,1
2021-10-30,Angelina,40,14,127,3
2021-10-31,Angelina,37,16,131,2
2021-11-01,Angelina,48,11,122,6
2021-11-02,Angelina,50,9,38,6
2021-11-03,Angelina,2,9,45,4
2021-11-04,Angelina,45,9,138,3
2021-11-05,Angelina,51,3,49,3
2021-11-06,Angelina,4,3,54,3
2021-11-07,Angelina,50,3,40,1
2021-11-08,Angelina,51,6,39,6
2021-11-09,Angelina,46,6,145,7
2021-11-10,Angelina,45,18,138,0
2021-11-11,Angelina,46,9,129,2
2021-11-12,Angelina,45,6,140,5
2021-11-13,Angelina,50,5,113,4
2021-11-14,Angelina,51,5,124,4
2021-11-15,Angelina,51,5,134,4
2021-11-16,Angelina,51,5,151,6
2021-11-17,Angelina,48,5,163,6
2021-11-18,Angelina,51,6,140,5
2021-11-19,Angelina,36,5,161,0
2021-11-20,Angelina,49,5,126,0
2021-11-21,Angelina,38,5,119,1
2021-11-22,Angelina,49,0,21,1
2021-11-23,Angelina,51,5,35,3
2021-11-24,Angelina,0,5,20,1
2021-11-25,Angelina,45,5,93,0
2021-11-26,Angelina,46,5,91,0
2021-11-27,Angelina,49,5,94,0
2021-11-28,Angelina,9,5,94,0
2021-11-29,Angelina,51,8,98,0
2021-11-30,Angelina,2,8,121,0
2021-12-01,Angelina,2,8,116,0
2021-12-02,Angelina,2,8,115,0
2021-12-03,Angelina,50,3,126,0
2021-12-04,Angelina,49,2,110,2
2021-12-05,Angelina,51,1,105,3
2021-12-06,Angelina,50,2,106,5
2021-12-07,Angelina,4,2,50,7
2021-12-08,Angelina,51,3,147,8
2021-12-09,Angelina,50,1,51,2
2021-12-10,Angelina,51,1,43,1
2021-12-11,Angelina,51,1,24,1
2021-12-12,Angelina,49,2,19,0
2021-12-13,Angelina,4,2,21,2
2021-12-14,Angelina,51,2,30,2
2021-12-15,Angelina,1,2,43,2
2021-12-16,Angelina,40,2,122,2
2021-12-17,Angelina,51,0,-48,0
2021-12-18,Angelina,50,2,34,0
2021-12-19,Angelina,51,0,27,0
2021-12-20,Angelina,51,0,33,1
2021-12-21,Angelina,50,0,43,1
2021-12-22,Angelina,51,0,36,1
2021-12-23,Angelina,49,2,23,0
2021-12-24,Angelina,51,0,18,2
2021-12-25,Angelina,51,0,2,3
2021-12-26,Angelina,51,0,4,5
2021-12-27,Angelina,47,3,98,7
2021-12-28,Angelina,51,4,28,6
2021-12-29,Angelina,51,4,29,11
2021-12-30,Angelina,0,4,28,7
2021-12-31,Angelina,2,4,5,7
2022-01-01,Angelina,50,4,20,7
2022-01-02,Angelina,50,4,19,7
2022-01-03,Angelina,49,9,16,15
2022-01-04,Angelina,51,6,29,21
2022-01-05,Angelina,50,8,37,25
2022-01-06,Angelina,23,8,117,31
2022-01-07,Angelina,21,8,114,34
2022-01-08,Angelina,48,12,99,34
2022-01-09,Angelina,42,25,108,52
2022-01-10,Angelina,46,19,116,37
2022-01-11,Angelina,48,34,122,24
2022-01-12,Angelina,35,34,127,22
2022-01-13,Angelina,50,34,113,22
2022-01-14,Angelina,51,30,117,30
2022-01-15,Angelina,48,21,118,29
2022-01-16,Angelina,19,21,116,32
2022-01-17,Angelina,21,21,120,36
2022-01-18,Angelina,51,20,126,28
2022-01-19,Angelina,48,9,124,41
2022-01-20,Angelina,47,8,136,44
2022-01-21,Angelina,45,10,39,44
2022-01-22,Angelina,46,8,32,44
2022-01-23,Angelina,45,12,120,30
2022-01-24,Angelina,48,8,130,36
2022-01-25,Angelina,51,11,40,37
2022-01-26,Angelina,50,11,147,37
2022-01-27,Angelina,47,13,130,36
2022-01-28,Angelina,51,12,121,38
2022-01-29,Angelina,49,34,111,36
2022-01-30,Angelina,50,24,119,19
2022-01-31,Angelina,49,12,123,37
2022-02-01,Angelina,50,24,129,46
2022-02-02,Angelina,51,8,53,46
2022-02-03,Angelina,50,12,127,35
2022-02-04,Angelina,51,13,137,28
2022-02-05,Angelina,15,13,126,28
2022-02-06,Angelina,23,13,112,37
2022-02-07,Angelina,49,16,120,25
2022-02-08,Angelina,48,17,132,26
2022-02-09,Angelina,10,17,126,35
2022-02-10,Angelina,49,14,125,24
2022-02-11,Angelina,51,13,134,25
2022-02-12,Angelina,50,18,124,21
2022-02-13,Angelina,38,17,141,15
2022-02-14,Angelina,49,18,138,18
2022-02-15,Angelina,51,11,132,22
2022-02-16,Angelina,49,11,133,23
2022-02-17,Angelina,50,9,152,21
2022-02-18,Angelina,51,8,159,20
2022-02-19,Angelina,41,4,121,26
2022-02-20,Angelina,48,5,92,17
2022-02-21,Angelina,48,5,104,20
2022-02-22,Angelina,46,5,125,16
2022-02-23,Angelina,47,8,13,16
